name,,dates,open,top,down,close,value
yzj300058,,"2010-05-26,三",30.5,32.5,30.06,30.92,"284,330,010"
yzj300058,,"2010-05-27,四",30.6,30.6,28.33,30.24,"136,417,290"
yzj300058,,"2010-05-28,五",30.16,31.78,29.9,31.32,"128,030,222"
yzj300058,,"2010-05-31,一",31.99,34.19,31.52,31.6,"160,188,110"
yzj300058,,"2010-06-01,二",30.8,31.17,28.5,29.39,"99,922,889"
yzj300058,,"2010-06-02,三",29,29.56,28.18,29.45,"51,336,899"
yzj300058,,"2010-06-03,四",29.5,29.93,28.71,28.82,"57,471,116"
yzj300058,,"2010-06-04,五",28.5,29.48,28.21,29.45,"40,487,865"
yzj300058,,"2010-06-07,一",28.79,30.59,28.51,30.39,"77,949,336"
yzj300058,,"2010-06-08,二",30.3,30.38,29.6,30.08,"48,971,896"
yzj300058,,"2010-06-09,三",30.16,30.9,30.05,30.3,"62,449,877"
yzj300058,,"2010-06-10,四",30.32,31.19,30.2,31,"57,186,452"
yzj300058,,"2010-06-11,五",30.96,32.78,30.95,32.16,"84,324,391"
yzj300058,,"2010-06-17,四",32.5,33.5,30.95,31.03,"88,154,762"
yzj300058,,"2010-06-18,五",31.2,31.55,29.25,29.68,"59,153,747"
yzj300058,,"2010-06-21,一",29.43,30.75,28.78,30.65,"46,631,799"
yzj300058,,"2010-06-22,二",30.39,31.16,30.39,30.39,"39,797,199"
yzj300058,,"2010-06-23,三",30.25,31.5,30,31.45,"45,753,602"
yzj300058,,"2010-06-24,四",31.46,31.78,30.9,31.5,"35,260,596"
yzj300058,,"2010-06-25,五",31.4,31.4,29.5,30.14,"40,743,584"
yzj300058,,"2010-06-28,一",30,30.13,29.2,29.6,"21,411,750"
yzj300058,,"2010-06-29,二",29.7,29.8,27.88,27.92,"29,365,803"
yzj300058,,"2010-06-30,三",27.51,27.87,26.8,27.8,"25,011,346"
yzj300058,,"2010-07-01,四",27.8,27.87,26.7,26.9,"16,225,199"
yzj300058,,"2010-07-02,五",26.79,26.97,24.8,26.08,"31,338,735"
yzj300058,,"2010-07-05,一",25.41,26.48,25.36,26.2,"19,132,817"
yzj300058,,"2010-07-06,二",26.2,26.95,25.83,26.64,"20,147,016"
yzj300058,,"2010-07-07,三",26.61,26.87,26.07,26.6,"16,328,468"
yzj300058,,"2010-07-08,四",26.61,26.87,25.9,26.29,"15,268,420"
yzj300058,,"2010-07-09,五",26.3,27.06,26.12,26.9,"25,363,160"
yzj300058,,"2010-07-12,一",26.79,27.1,26.61,26.9,"17,606,529"
yzj300058,,"2010-07-13,二",26.66,26.78,25.86,26.44,"13,897,324"
yzj300058,,"2010-07-14,三",26.46,27.09,26.38,26.65,"15,236,213"
yzj300058,,"2010-07-15,四",26.65,26.66,25.3,25.38,"14,642,095"
yzj300058,,"2010-07-16,五",25.2,25.84,25.02,25.6,"10,956,305"
yzj300058,,"2010-07-19,一",25.46,26.09,25.24,26.06,"9,895,315"
yzj300058,,"2010-07-20,二",26.06,26.75,26,26.73,"16,987,350"
yzj300058,,"2010-07-21,三",26.7,27.36,26.68,26.73,"20,548,320"
yzj300058,,"2010-07-22,四",26.56,27.06,26.5,26.98,"12,022,421"
yzj300058,,"2010-07-23,五",27.05,27.35,26.88,27.25,"18,549,776"
yzj300058,,"2010-07-26,一",27.26,27.78,27,27.4,"15,357,312"
yzj300058,,"2010-07-27,二",27.27,27.27,26.75,26.87,"13,679,602"
yzj300058,,"2010-07-28,三",26.63,27.37,26.63,27.36,"15,408,157"
yzj300058,,"2010-07-29,四",27.4,27.52,27.21,27.48,"18,679,951"
yzj300058,,"2010-07-30,五",27.35,27.48,27.03,27.4,"10,724,998"
yzj300058,,"2010-08-02,一",27.43,27.95,27.25,27.9,"18,411,305"
yzj300058,,"2010-08-03,二",27.98,28.06,27.28,27.28,"12,601,530"
yzj300058,,"2010-08-04,三",27.28,27.4,26.85,27.33,"11,667,197"
yzj300058,,"2010-08-05,四",27.41,27.98,27.3,27.5,"23,832,174"
